Frecuencia números únicos
 1,598
 2,569
 3,566
 4,549
 5,584
 6,575
 7,569
 8,558
 9,549
10,543
11,578
12,598
13,592
14,564
15,587
16,572
17,562
18,593
19,569
20,578
21,552
22,545
23,512
24,572
25,573
26,537
27,552
28,573
29,583
30,571
31,550
32,601
33,578
34,542
35,533
36,590
37,579
38,549
39,567
40,497
41,450
42,463
43,478
44,477
45,323
46,292
47,306
48,265
49,286
50,285
51,262
52,255
53,230
54,256
55,226
56,250
 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,
 1, 0,47,65,54,80,49,48,65,51,59,58,53,51,54,69,45,56,65,57,68,46,54,49,55,56,45,56,49,54,56,52,57,53,59,50,50,53,57,50,47,36,33,36,50,40,24,29,18,23,17,15,22,17,26,29,18,
 2,47, 0,55,50,40,52,45,53,49,46,66,52,57,58,58,45,53,50,66,49,49,43,58,50,52,54,59,51,62,56,48,53,53,43,46,55,56,55,50,45,44,56,39,29,24,25,19,18,20,22,19,26,17,20,15,18,
 3,65,55, 0,51,44,65,48,54,41,44,56,59,46,55,50,55,45,67,49,47,49,52,52,53,45,55,48,53,49,58,37,56,55,52,49,49,49,61,48,52,37,54,41,38,22,21,24,27,24,25,23,16,14,23,22,21,
 4,54,50,51, 0,53,38,52,48,27,62,43,56,51,52,57,49,47,56,57,63,45,47,28,48,60,46,49,51,48,61,53,53,55,42,46,45,48,48,59,54,36,39,33,33,27,26,28,19,22,15,23,19,17,20,25,16,
 5,80,40,44,53, 0,59,49,60,45,53,48,55,58,56,69,59,63,55,54,44,55,59,49,50,54,55,49,49,54,64,47,48,56,58,50,53,62,55,48,39,37,52,33,48,20,29,35,24,20,25,14,20,21,28,21,25,
 6,49,52,65,38,59, 0,45,50,53,52,53,52,53,58,51,43,54,44,49,47,48,45,41,57,52,41,57,48,62,69,52,65,54,44,55,56,60,47,51,48,45,43,48,33,25,19,23,20,11,24,27,28,18,19,15,18,
 7,48,45,48,52,49,45, 0,58,54,55,45,49,60,68,46,47,43,67,54,56,46,49,50,58,56,45,62,50,62,53,58,58,67,50,46,47,52,46,54,41,42,43,45,42,29,25,28,17,23,17,20,24,14,25,27,15,
 8,65,53,54,48,60,50,58, 0,53,42,63,54,41,61,45,52,64,52,43,49,43,47,44,62,58,49,60,45,57,53,58,60,54,38,50,57,67,54,58,34,33,38,55,45,32,23,21,27,15,19,17,20,10,15,17,23,
 9,51,49,41,27,45,53,54,53, 0,35,48,57,64,57,46,45,50,39,54,49,51,53,52,61,54,40,40,57,48,49,33,56,42,44,54,51,54,44,51,32,38,44,40,38,17,16,26,26,18,19,18,24,18,16,19,25,
10,59,46,44,62,53,52,55,42,35, 0,44,52,55,60,59,51,54,56,35,51,49,45,38,42,48,55,40,44,50,49,43,45,62,49,46,53,52,42,54,35,44,48,30,46,22,21,20,20,21,24,14,13,20,22,23,26,
11,58,66,56,43,48,53,45,63,48,44, 0,58,49,47,42,42,48,46,56,56,48,52,39,44,52,44,46,61,54,54,50,54,55,51,52,51,49,53,49,47,47,37,49,44,21,25,33,25,21,19,15,15,16,23,21,21,
12,53,52,59,56,55,52,49,54,57,52,58, 0,55,51,58,62,53,61,56,54,55,58,51,63,43,47,44,51,51,59,48,57,46,54,59,59,48,49,59,37,42,37,45,48,34,31,29,24,23,28,25,19,25,17,20,18,
13,51,57,46,51,58,53,60,41,64,55,49,55, 0,66,55,54,53,58,55,58,51,62,48,52,40,47,60,59,62,60,43,69,61,56,60,55,58,45,53,54,39,25,47,36,18,27,33,21,26,29,22,17,22,20,17,17,
14,54,58,55,52,56,58,68,61,57,60,47,51,66, 0,55,46,56,49,58,56,52,41,57,49,48,50,50,42,54,55,49,48,56,46,59,56,39,49,45,43,49,42,48,40,35,22,24,19,29,17,18,15,17,27,15,22,
15,69,58,50,57,69,51,46,45,46,59,42,58,55,55, 0,62,74,60,44,61,57,47,46,52,57,45,43,53,50,64,54,48,49,60,44,66,55,51,53,45,36,54,41,37,29,26,21,20,24,32,25,29,14,19,22,21,
16,45,45,55,49,59,43,47,52,45,51,42,62,54,46,62, 0,53,63,49,61,58,57,41,51,54,52,48,53,56,56,51,55,61,41,57,61,55,46,52,32,37,40,38,46,20,24,29,15,19,29,17,23,13,20,21,19,
17,56,53,45,47,63,54,43,64,50,54,48,53,53,56,74,53, 0,47,53,51,54,46,52,51,50,43,47,57,57,50,65,49,53,39,53,56,55,56,56,35,43,42,40,31,19,30,27,21,20,26,16,12,21,21,14,16,
18,65,50,67,56,55,44,67,52,39,56,46,61,58,49,60,63,47, 0,56,68,46,53,52,48,58,48,53,52,60,59,55,65,66,56,54,63,41,56,52,47,42,40,48,46,21,20,25,26,22,27,20,18,23,26,16,22,
19,57,66,49,57,54,49,54,43,54,35,56,56,55,58,44,49,53,56, 0,57,50,50,39,63,56,46,42,63,65,50,42,57,56,33,42,52,49,49,47,50,35,36,41,35,25,25,36,27,25,30,24,15,22,19,16,21,
20,68,49,47,63,44,47,56,49,49,51,56,54,58,56,61,61,51,68,57, 0,52,56,46,54,58,51,38,68,48,51,45,53,50,49,46,56,55,55,59,43,48,28,41,48,29,23,20,23,10,26,18,21,19,22,22,29,
21,46,49,49,45,55,48,46,43,51,49,48,55,51,52,57,58,54,46,50,52, 0,43,43,51,46,41,54,57,51,49,57,48,54,40,59,52,60,40,56,40,43,32,42,35,21,26,27,29,26,22,26,24,18,17,20,22,
22,54,43,52,47,59,45,49,47,53,45,52,58,62,41,47,57,46,53,50,56,43, 0,43,47,39,47,50,47,54,44,52,41,58,50,53,53,56,47,49,43,43,36,40,36,20,23,24,22,21,17,22,18,17,14,20,15,
23,49,58,52,28,49,41,50,44,52,38,39,51,48,57,46,41,52,52,39,46,43,43, 0,51,59,43,45,42,47,47,39,54,48,52,55,60,55,46,39,44,37,32,38,36,16,24,31,18,24,17,18,23,14,15,13,20,
24,55,50,53,48,50,57,58,62,61,42,44,63,52,49,52,51,51,48,63,54,51,47,51, 0,50,49,46,73,57,60,55,58,49,56,56,48,60,57,57,45,36,47,37,35,19,27,36,16,27,20,19,17,19,26,24,17,
